meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1232,9496,63,4,2024-04-07T05:37:23.752000+00:00,36.014,43.918,19.044,277.0,301.0,False,98.976,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2051]",305.0
1232,9496,31,4,2024-04-07T05:37:24.445000+00:00,36.369,44.208,18.964,,299.0,False,99.541,"[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048]",300.0
1232,9496,77,4,2024-04-07T05:37:24.899000+00:00,36.346,44.258,18.858,273.0,298.0,False,99.462,"[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2048, 2049]","[2049, 2049, 2049, 2048, 2049]",299.0
1232,9496,18,4,2024-04-07T05:37:25.201000+00:00,36.379,44.265,18.884,276.0,299.0,False,99.528,"[2049, 2049, 2049, 2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2049, 2049, 2049, 2048, 2049]",302.0
1232,9496,10,4,2024-04-07T05:37:25.752000+00:00,36.68,44.41,18.835,271.0,301.0,False,99.925,"[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2049]",296.0
1232,9496,20,4,2024-04-07T05:37:26.070000+00:00,36.735,44.554,18.814,273.0,303.0,False,100.103,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2048, 2051, 2048, 2049, 2048, 2048]","[2049, 2049, 2049, 2048, 2048]",307.0
1232,9496,24,4,2024-04-07T05:37:26.365000+00:00,36.656,44.602,18.97,272.0,302.0,False,100.228,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2048]","[2049, 2049, 2049, 2048, 2048, 2051, 2049, 2048, 2049, 2048, 2049]","[2049, 2049, 2048, 2048, 2049]",302.0
1232,9496,27,4,2024-04-07T05:37:26.971000+00:00,36.724,44.611,19.039,,304.0,False,100.374,"[2049, 2049, 2049, 2048, 2049, 2048, 2049, 2049, 2048]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2048, 2048]","[2051, 2049, 2049, 2048, 2049]",306.0
1232,9496,2,4,2024-04-07T05:37:28.176000+00:00,36.434,44.774,19.216,276.0,301.0,False,100.424,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049]",295.0
1232,9496,1,5,2024-04-07T05:38:53.792000+00:00,34.69,43.035,18.712,279.0,293.0,False,96.437,"[2048, 2049, 2049, 2051, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2051, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048]",286.0
